path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
Complete.50.20.9.gexf,50,F,F,Complete,50,20,9,gexf
Complete.100.1.9.gexf,2,44.3517092334302,1,Complete,100,1,9,gexf
Complete.100.1.9.gexf,3,44.3517092334302,1,Complete,100,1,9,gexf
Complete.100.1.9.gexf,5,44.3517092334302,1,Complete,100,1,9,gexf
Complete.100.1.9.gexf,10,44.3517092334302,1,Complete,100,1,9,gexf
Complete.100.1.9.gexf,50,43.71487383980213,7,Complete,100,1,9,gexf
Complete.100.20.9.gexf,2,1001,1,Complete,100,20,9,gexf
Complete.100.20.9.gexf,3,1001,1,Complete,100,20,9,gexf
Complete.100.20.9.gexf,5,1001,1,Complete,100,20,9,gexf
Complete.100.20.9.gexf,10,1001,1,Complete,100,20,9,gexf
Complete.100.20.9.gexf,50,1001,14,Complete,100,20,9,gexf
Complete.500.1.9.gexf,2,251.54505534382005,1,Complete,500,1,9,gexf
Complete.500.1.9.gexf,3,251.54505534382005,1,Complete,500,1,9,gexf
Complete.500.1.9.gexf,5,251.54505534382005,1,Complete,500,1,9,gexf
Complete.500.1.9.gexf,10,251.54505534382005,1,Complete,500,1,9,gexf
Complete.500.1.9.gexf,50,251.54505534382005,1,Complete,500,1,9,gexf
Complete.500.20.9.gexf,2,4912,1,Complete,500,20,9,gexf
Complete.500.20.9.gexf,3,4912,1,Complete,500,20,9,gexf
Complete.500.20.9.gexf,5,4912,1,Complete,500,20,9,gexf
Complete.500.20.9.gexf,10,4912,1,Complete,500,20,9,gexf
Complete.500.20.9.gexf,50,4912,1,Complete,500,20,9,gexf
Complete.1000.1.9.gexf,2,499.65470492143936,1,Complete,1000,1,9,gexf
Complete.1000.1.9.gexf,3,499.65470492143936,1,Complete,1000,1,9,gexf
Complete.1000.1.9.gexf,5,499.65470492143936,1,Complete,1000,1,9,gexf
Complete.1000.1.9.gexf,10,499.65470492143936,1,Complete,1000,1,9,gexf
Complete.1000.1.9.gexf,50,499.65470492143936,1,Complete,1000,1,9,gexf
Complete.1000.20.9.gexf,2,10039,1,Complete,1000,20,9,gexf
Complete.1000.20.9.gexf,3,10039,1,Complete,1000,20,9,gexf
Complete.1000.20.9.gexf,5,10039,1,Complete,1000,20,9,gexf
Complete.1000.20.9.gexf,10,10039,1,Complete,1000,20,9,gexf
Complete.1000.20.9.gexf,50,10039,1,Complete,1000,20,9,gexf
Complete.50.1.10.gexf,2,21.230214667736703,1,Complete,50,1,10,gexf
Complete.50.1.10.gexf,3,21.230214667736703,1,Complete,50,1,10,gexf
Complete.50.1.10.gexf,5,21.230214667736703,1,Complete,50,1,10,gexf
Complete.50.1.10.gexf,10,21.230214667736703,1,Complete,50,1,10,gexf
Complete.50.1.10.gexf,50,F,F,Complete,50,1,10,gexf
Complete.50.20.10.gexf,2,426,1,Complete,50,20,10,gexf
