path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
R-MAT.1000.5.4.gexf,10,75.0,1,R-MAT,1000,5,4,gexf
R-MAT.1000.5.4.gexf,50,63.14285714285715,10,R-MAT,1000,5,4,gexf
R-MAT.1000.10.4.gexf,2,159.0,1,R-MAT,1000,10,4,gexf
R-MAT.1000.10.4.gexf,3,159.0,1,R-MAT,1000,10,4,gexf
R-MAT.1000.10.4.gexf,5,159.0,1,R-MAT,1000,10,4,gexf
R-MAT.1000.10.4.gexf,10,157.3,2,R-MAT,1000,10,4,gexf
R-MAT.1000.10.4.gexf,50,134.45454545454547,8,R-MAT,1000,10,4,gexf
R-MAT.1000.25.4.gexf,2,374.0,1,R-MAT,1000,25,4,gexf
R-MAT.1000.25.4.gexf,3,374.0,1,R-MAT,1000,25,4,gexf
R-MAT.1000.25.4.gexf,5,374.0,1,R-MAT,1000,25,4,gexf
R-MAT.1000.25.4.gexf,10,374.0,1,R-MAT,1000,25,4,gexf
R-MAT.1000.25.4.gexf,50,317.0869565217391,6,R-MAT,1000,25,4,gexf
R-MAT.50.5.5.gexf,2,12.0,1,R-MAT,50,5,5,gexf
R-MAT.50.5.5.gexf,3,12.0,1,R-MAT,50,5,5,gexf
R-MAT.50.5.5.gexf,5,10.8,2,R-MAT,50,5,5,gexf
R-MAT.50.5.5.gexf,10,F,F,R-MAT,50,5,5,gexf
R-MAT.50.5.5.gexf,50,F,F,R-MAT,50,5,5,gexf
R-MAT.50.10.5.gexf,2,24.0,1,R-MAT,50,10,5,gexf
R-MAT.50.10.5.gexf,3,24.0,1,R-MAT,50,10,5,gexf
R-MAT.50.10.5.gexf,5,24.0,1,R-MAT,50,10,5,gexf
R-MAT.50.10.5.gexf,10,24.0,1,R-MAT,50,10,5,gexf
R-MAT.50.10.5.gexf,50,F,F,R-MAT,50,10,5,gexf
R-MAT.50.25.5.gexf,2,72.0,1,R-MAT,50,25,5,gexf
R-MAT.50.25.5.gexf,3,72.0,1,R-MAT,50,25,5,gexf
R-MAT.50.25.5.gexf,5,72.0,1,R-MAT,50,25,5,gexf
R-MAT.50.25.5.gexf,10,61.875,5,R-MAT,50,25,5,gexf
R-MAT.50.25.5.gexf,50,F,F,R-MAT,50,25,5,gexf
R-MAT.100.5.5.gexf,2,19.0,1,R-MAT,100,5,5,gexf
R-MAT.100.5.5.gexf,3,17.333333333333332,2,R-MAT,100,5,5,gexf
R-MAT.100.5.5.gexf,5,15.6,2,R-MAT,100,5,5,gexf
R-MAT.100.5.5.gexf,10,10.999999999999998,5,R-MAT,100,5,5,gexf
R-MAT.100.5.5.gexf,50,F,F,R-MAT,100,5,5,gexf
R-MAT.100.10.5.gexf,2,39.0,1,R-MAT,100,10,5,gexf
R-MAT.100.10.5.gexf,3,39.0,1,R-MAT,100,10,5,gexf
R-MAT.100.10.5.gexf,5,39.0,1,R-MAT,100,10,5,gexf
R-MAT.100.10.5.gexf,10,38.5,2,R-MAT,100,10,5,gexf
R-MAT.100.10.5.gexf,50,F,F,R-MAT,100,10,5,gexf
R-MAT.100.25.5.gexf,2,113.0,1,R-MAT,100,25,5,gexf
R-MAT.100.25.5.gexf,3,113.0,1,R-MAT,100,25,5,gexf
R-MAT.100.25.5.gexf,5,113.0,1,R-MAT,100,25,5,gexf
R-MAT.100.25.5.gexf,10,113.0,1,R-MAT,100,25,5,gexf
R-MAT.100.25.5.gexf,50,F,F,R-MAT,100,25,5,gexf
R-MAT.500.5.5.gexf,2,53.0,1,R-MAT,500,5,5,gexf
R-MAT.500.5.5.gexf,3,53.0,1,R-MAT,500,5,5,gexf
R-MAT.500.5.5.gexf,5,53.0,1,R-MAT,500,5,5,gexf
R-MAT.500.5.5.gexf,10,50.6,2,R-MAT,500,5,5,gexf
R-MAT.500.5.5.gexf,50,F,F,R-MAT,500,5,5,gexf
R-MAT.500.10.5.gexf,2,103.0,1,R-MAT,500,10,5,gexf
R-MAT.500.10.5.gexf,3,103.0,1,R-MAT,500,10,5,gexf
R-MAT.500.10.5.gexf,5,103.0,1,R-MAT,500,10,5,gexf
R-MAT.500.10.5.gexf,10,103.0,1,R-MAT,500,10,5,gexf
R-MAT.500.10.5.gexf,50,81.59999999999997,17,R-MAT,500,10,5,gexf
R-MAT.500.25.5.gexf,2,280.0,1,R-MAT,500,25,5,gexf
R-MAT.500.25.5.gexf,3,280.0,1,R-MAT,500,25,5,gexf
R-MAT.500.25.5.gexf,5,280.0,1,R-MAT,500,25,5,gexf
R-MAT.500.25.5.gexf,10,270.6,2,R-MAT,500,25,5,gexf
R-MAT.500.25.5.gexf,50,213.06666666666666,14,R-MAT,500,25,5,gexf
R-MAT.1000.5.5.gexf,2,72.0,1,R-MAT,1000,5,5,gexf
R-MAT.1000.5.5.gexf,3,72.0,1,R-MAT,1000,5,5,gexf
R-MAT.1000.5.5.gexf,5,72.0,1,R-MAT,1000,5,5,gexf
R-MAT.1000.5.5.gexf,10,72.0,1,R-MAT,1000,5,5,gexf
R-MAT.1000.5.5.gexf,50,65.23255813953489,9,R-MAT,1000,5,5,gexf
R-MAT.1000.10.5.gexf,2,132.0,1,R-MAT,1000,10,5,gexf
R-MAT.1000.10.5.gexf,3,132.0,1,R-MAT,1000,10,5,gexf
R-MAT.1000.10.5.gexf,5,132.0,1,R-MAT,1000,10,5,gexf
R-MAT.1000.10.5.gexf,10,132.0,1,R-MAT,1000,10,5,gexf
R-MAT.1000.10.5.gexf,50,117.86666666666667,7,R-MAT,1000,10,5,gexf
R-MAT.1000.25.5.gexf,2,363.0,1,R-MAT,1000,25,5,gexf
R-MAT.1000.25.5.gexf,3,363.0,1,R-MAT,1000,25,5,gexf
R-MAT.1000.25.5.gexf,5,363.0,1,R-MAT,1000,25,5,gexf
R-MAT.1000.25.5.gexf,10,363.0,1,R-MAT,1000,25,5,gexf
R-MAT.1000.25.5.gexf,50,323.3863636363636,8,R-MAT,1000,25,5,gexf
R-MAT.50.5.6.gexf,2,12.0,1,R-MAT,50,5,6,gexf
R-MAT.50.5.6.gexf,3,12.0,1,R-MAT,50,5,6,gexf
R-MAT.50.5.6.gexf,5,7.999999999999999,5,R-MAT,50,5,6,gexf
R-MAT.50.5.6.gexf,10,F,F,R-MAT,50,5,6,gexf
R-MAT.50.5.6.gexf,50,F,F,R-MAT,50,5,6,gexf
R-MAT.50.10.6.gexf,2,29.0,1,R-MAT,50,10,6,gexf
R-MAT.50.10.6.gexf,3,29.0,1,R-MAT,50,10,6,gexf
R-MAT.50.10.6.gexf,5,29.0,1,R-MAT,50,10,6,gexf
R-MAT.50.10.6.gexf,10,26.125,4,R-MAT,50,10,6,gexf
