path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
293	Complete.100.1.8.gexf	5	44.7139776209752	1	Complete	100	1	8	gexf
294	Complete.100.1.8.gexf	10	44.7139776209752	1	Complete	100	1	8	gexf
295	Complete.100.1.8.gexf	50	43.8425501251927	10	Complete	100	1	8	gexf
296	Complete.100.20.8.gexf	2	913	1	Complete	100	20	8	gexf
297	Complete.100.20.8.gexf	3	913	1	Complete	100	20	8	gexf
298	Complete.100.20.8.gexf	5	913	1	Complete	100	20	8	gexf
299	Complete.100.20.8.gexf	10	913	1	Complete	100	20	8	gexf
300	Complete.100.20.8.gexf	50	907.568181818182	12	Complete	100	20	8	gexf
301	Complete.500.1.8.gexf	2	244.818967177033	2	Complete	500	1	8	gexf
302	Complete.500.1.8.gexf	3	244.818967177033	1	Complete	500	1	8	gexf
303	Complete.500.1.8.gexf	5	244.818967177033	3	Complete	500	1	8	gexf
304	Complete.500.1.8.gexf	10	244.818967177033	2	Complete	500	1	8	gexf
305	Complete.500.1.8.gexf	50	244.818967177033	1	Complete	500	1	8	gexf
306	Complete.500.20.8.gexf	2	4971	1	Complete	500	20	8	gexf
307	Complete.500.20.8.gexf	3	4971	1	Complete	500	20	8	gexf
308	Complete.500.20.8.gexf	5	4971	1	Complete	500	20	8	gexf
309	Complete.500.20.8.gexf	10	4971	1	Complete	500	20	8	gexf
310	Complete.500.20.8.gexf	50	4971	1	Complete	500	20	8	gexf
311	Complete.1000.1.8.gexf	2	499.072993436637	1	Complete	1000	1	8	gexf
312	Complete.1000.1.8.gexf	3	499.072993436637	1	Complete	1000	1	8	gexf
313	Complete.1000.1.8.gexf	5	499.072993436637	1	Complete	1000	1	8	gexf
314	Complete.1000.1.8.gexf	10	499.072993436637	1	Complete	1000	1	8	gexf
315	Complete.1000.1.8.gexf	50	499.072993436637	1	Complete	1000	1	8	gexf
316	Complete.1000.20.8.gexf	2	10101	1	Complete	1000	20	8	gexf
317	Complete.1000.20.8.gexf	3	10101	1	Complete	1000	20	8	gexf
318	Complete.1000.20.8.gexf	5	10101	1	Complete	1000	20	8	gexf
