path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5	small_1	constant1	uni_2	constant2	best.constant	best.alg
114	Rand.Uni.1000.10.2.gexf	10	9.73714015043428	3	Rand	Uni	1000	10	2	gexf	2.39729272796529	4.06172347533824	2.77723869477198	3.50605087303586	4.06172347533824	NA
116	Rand.Uni.1000.25.2.gexf	2	25.6018940758452	1	Rand	Uni	1000	25	2	gexf	23.6215904794622	1.08383447330123	23.6215904794622	1.08383447330123	1.08383447330123	2
117	Rand.Uni.1000.25.2.gexf	3	25.6018940758452	1	Rand	Uni	1000	25	2	gexf	22.6770698702438	1.1289771660244	22.6770698702438	1.1289771660244	1.1289771660244	2
118	Rand.Uni.1000.25.2.gexf	5	25.6018940758452	1	Rand	Uni	1000	25	2	gexf	20.8594840973064	1.22735030053553	20.8594840973064	1.22735030053553	1.22735030053553	NA
119	Rand.Uni.1000.25.2.gexf	10	25.6018940758452	1	Rand	Uni	1000	25	2	gexf	16.8395503105493	1.5203430972742	16.8395503105493	1.5203430972742	1.5203430972742	NA
120	Rand.Uni.1000.25.2.gexf	50	4.5314026976507	49	Rand	Uni	1000	25	2	gexf	0.112728560409525	40.1974679813955	0.112728560409525	40.1974679813955	40.1974679813955	NA
121	Rand.Uni.50.5.3.gexf	2	6.27555963594622	1	Rand	Uni	50	5	3	gexf	4.49434708417331	1.39632287369291	4.59326485041754	1.36625251108169	1.39632287369291	NA
122	Rand.Uni.50.5.3.gexf	3	6.27555963594622	1	Rand	Uni	50	5	3	gexf	3.71051368855504	1.69129133125232	3.71051368855504	1.69129133125232	1.69129133125232	NA
123	Rand.Uni.50.5.3.gexf	5	6.27555963594622	1	Rand	Uni	50	5	3	gexf	2.30907589223967	2.71777972176536	2.36984292652829	2.64809096235742	2.71777972176536	NA
126	Rand.Uni.50.10.3.gexf	2	6.99812495388747	1	Rand	Uni	50	10	3	gexf	5.08791120974641	1.37544164302275	5.08791120974641	1.37544164302275	1.37544164302275	2
127	Rand.Uni.50.10.3.gexf	3	6.99812495388747	1	Rand	Uni	50	10	3	gexf	4.15400519727042	1.68466928218721	4.15400519727042	1.6846692821872	1.68466928218721	NA
128	Rand.Uni.50.10.3.gexf	5	6.99812495388747	1	Rand	Uni	50	10	3	gexf	2.37805006939625	2.94279966765552	2.37805006939625	2.94279966765552	2.94279966765552	NA
129	Rand.Uni.50.10.3.gexf	10	4.02810309475427	10	Rand	Uni	50	10	3	gexf	0.535389043875245	7.52369354740267	0.535389043875245	7.52369354740267	7.52369354740267	NA
131	Rand.Uni.50.25.3.gexf	2	19.6816195585619	1	Rand	Uni	50	25	3	gexf	17.84180904548	1.10311793542864	17.84180904548	1.10311793542864	1.10311793542864	2
132	Rand.Uni.50.25.3.gexf	3	19.6816195585619	1	Rand	Uni	50	25	3	gexf	16.9513995866318	1.16106162550042	16.9513995866319	1.16106162550042	1.16106162550042	NA
133	Rand.Uni.50.25.3.gexf	5	19.6816195585619	1	Rand	Uni	50	25	3	gexf	15.2365102227714	1.29174064604027	15.2365102227714	1.29174064604027	1.29174064604027	2
134	Rand.Uni.50.25.3.gexf	10	19.6816195585619	1	Rand	Uni	50	25	3	gexf	11.3003969387245	1.74167506374191	11.3003969387245	1.74167506374191	1.74167506374191	NA
136	Rand.Uni.100.5.3.gexf	2	2.91391625163533	1	Rand	Uni	100	5	3	gexf	1.87857738344411	1.55112920943031	1.87857738344411	1.55112920943031	1.55112920943031	NA
137	Rand.Uni.100.5.3.gexf	3	2.91391625163533	1	Rand	Uni	100	5	3	gexf	1.42287858015129	2.04790225412312	1.51932185617088	1.91790583397465	2.04790225412312	NA
138	Rand.Uni.100.5.3.gexf	5	2.80208985906938	2	Rand	Uni	100	5	3	gexf	0.688565050770741	4.06946279938675	0.878834622303557	3.18841541736792	4.06946279938675	NA
