construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5
117	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	3	2	[41, 41, 41, 41]	19.8797864054405	17.1255304996978	17.125530499697838	inf	500	0	0	0	0	[19.879786405440527, 17.125530499697838]	Rand	Uni	50	25	8	gexf
118	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	5	3	[41, 41, 41, 41]	19.8797864054405	15.4464866534118	15.446486653411805	inf	819	0	0	0	0	[19.879786405440527, 15.446486653411805]	Rand	Uni	50	25	8	gexf
119	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	10	4	[41, 41, 41, 41]	19.8797864054405	11.7013012480109	11.701301248010925	inf	397	0	0	0	0	[19.879786405440527, 11.701301248010925]	Rand	Uni	50	25	8	gexf
121	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	2	1	[8, 8, 8, 8]	4.65488077504099	3.10964648195327	3.109646481953274	inf	974	0	0	0	0	[4.654880775040991, 3.109646481953274]	Rand	Uni	50	5	9	gexf
122	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	3	2	[8, 8, 8, 8]	4.65488077504099	2.49820834217713	2.4982083421771275	inf	1556	0	0	0	0	[4.654880775040991, 2.4982083421771275]	Rand	Uni	50	5	9	gexf
123	cut	cap	first	Rand.Uni.50.5.9.gexf	50	250	5	3	[8, 8, 8, 8]	4.65488077504099	1.67998935164959	1.679989351649594	inf	2331	0	0	0	0	[4.654880775040991, 1.679989351649594]	Rand	Uni	50	5	9	gexf
126	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	2	1	[13, 13, 13, 13]	5.81125962669201	3.94828596049538	3.9482859604953755	inf	700	0	0	0	0	[5.811259626692013, 3.9482859604953755]	Rand	Uni	50	10	9	gexf
127	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	3	2	[13, 13, 13, 13]	5.81125962669201	3.07292343907645	3.072923439076448	inf	507	0	0	0	0	[5.811259626692013, 3.072923439076448]	Rand	Uni	50	10	9	gexf
128	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	5	3	[13, 13, 13, 13]	5.81125962669201	1.98327071697415	1.983270716974145	inf	980	0	0	0	0	[5.811259626692013, 1.983270716974145]	Rand	Uni	50	10	9	gexf
129	cut	cap	first	Rand.Uni.50.10.9.gexf	50	500	10	4	[13, 13, 13, 13]	5.81125962669201	0.234749202916287	0.23474920291628665	inf	2345	0	0	0	0	[5.811259626692013, 0.23474920291628665]	Rand	Uni	50	10	9	gexf
131	cut	cap	first	Rand.Uni.50.25.9.gexf	50	1250	2	1	[36, 36, 36, 36]	19.1342182563801	17.1696095007753	17.169609500775298	inf	189	0	0	0	0	[19.13421825638006, 17.169609500775298]	Rand	Uni	50	25	9	gexf
132	cut	cap	first	Rand.Uni.50.25.9.gexf	50	1250	3	2	[36, 36, 36, 36]	19.1342182563801	16.2277176645927	16.22771766459269	inf	308	0	0	0	0	[19.13421825638006, 16.22771766459269]	Rand	Uni	50	25	9	gexf
133	cut	cap	first	Rand.Uni.50.25.9.gexf	50	1250	5	3	[36, 36, 36, 36]	19.1342182563801	14.4669380630616	14.466938063061615	inf	310	0	0	0	0	[19.13421825638006, 14.466938063061615]	Rand	Uni	50	25	9	gexf
134	cut	cap	first	Rand.Uni.50.25.9.gexf	50	1250	10	4	[36, 36, 36, 36]	19.1342182563801	10.5947478946803	10.594747894680347	inf	318	0	0	0	0	[19.13421825638006, 10.594747894680347]	Rand	Uni	50	25	9	gexf
136	cut	cap	first	Rand.Uni.50.5.10.gexf	50	250	2	1	[10, 10, 10, 10]	6.58735189391711	5.05068686996042	5.0506868699604235	inf	990	0	0	0	0	[6.587351893917109, 5.0506868699604235]	Rand	Uni	50	5	10	gexf
137	cut	cap	first	Rand.Uni.50.5.10.gexf	50	250	3	2	[10, 10, 10, 10]	6.58735189391711	4.37842641999581	4.3784264199958125	inf	1262	0	0	0	0	[6.587351893917109, 4.3784264199958125]	Rand	Uni	50	5	10	gexf
