construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
cut,cap,first,Rand.Uni.500.5.8.gexf,500,2500,2,1,"[7, 7, 7, 7]",2.5361699871236096,1.0853727744309127,1.0853727744309127,inf,88,0,0,0,0,"[2.5361699871236096, 1.0853727744309127]",Rand,Uni,500,5,8,gexf
cut,cap,first,Rand.Uni.500.5.8.gexf,500,2500,3,2,"[7, 7, 7, 7]",2.5361699871236096,0.7509160607116437,0.7509160607116437,inf,230,0,0,0,0,"[2.5361699871236096, 0.7509160607116437]",Rand,Uni,500,5,8,gexf
cut,cap,first,Rand.Uni.500.5.8.gexf,500,2500,5,3,"[7, 7, 7, 7]",2.5361699871236096,0.22704547217692694,0.22704547217692694,inf,226,0,0,0,0,"[2.5361699871236096, 0.22704547217692694]",Rand,Uni,500,5,8,gexf
cut,cap,first,Rand.Uni.500.5.8.gexf,500,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,8,gexf
cut,cap,first,Rand.Uni.500.5.8.gexf,500,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,8,gexf
cut,cap,first,Rand.Uni.500.10.8.gexf,500,5000,2,1,"[20, 20, 20, 20]",8.58266619335972,6.785214622672225,6.785214622672225,inf,57,0,0,0,0,"[8.58266619335972, 6.785214622672225]",Rand,Uni,500,10,8,gexf
cut,cap,first,Rand.Uni.500.10.8.gexf,500,5000,3,2,"[20, 20, 20, 20]",8.58266619335972,6.040542341160847,6.040542341160847,inf,70,0,0,0,0,"[8.58266619335972, 6.040542341160847]",Rand,Uni,500,10,8,gexf
cut,cap,first,Rand.Uni.500.10.8.gexf,500,5000,5,3,"[20, 20, 20, 20]",8.58266619335972,4.670193663470937,4.670193663470937,inf,49,0,0,0,0,"[8.58266619335972, 4.670193663470937]",Rand,Uni,500,10,8,gexf
cut,cap,first,Rand.Uni.500.10.8.gexf,500,5000,10,4,"[20, 20, 20, 20]",8.58266619335972,1.826984555024473,1.826984555024473,inf,90,0,0,0,0,"[8.58266619335972, 1.826984555024473]",Rand,Uni,500,10,8,gexf
cut,cap,first,Rand.Uni.500.10.8.gexf,500,F,50,5,"[20, 20, 20, 20]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,8,gexf
